Branch,Percentage_10th,Percentage_12th,Career_Goal,Course Type,Skills,Category,Title
CSIT,75,85,devops engineer,Course,social skillsprofessional developmentpeople skillssoft skillseffective communication,Personal Development,People and Soft Skills Assessment 
CSIT,85,85,web developer,Course,django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,Computer Science,Building Web Applications in Django
ECE,85,85,iot developer,Project,cloud platformscloud storagegoogle cloud platform,Information Technology,A Tour of Google Cloud Hands-on Labs
ECE,75,75,iot developer,Course,predictive modellingpython programmingdata analysisdata visualization datavizmodel selection,Data Science,Data Analysis with Python
IT,85,85,cloud engineer,Course,tensorflowbigquerygoogle cloud platformcloud computing,Data Science,Google Cloud Big Data and Machine Learning Fundamentals 日本語版
CSIT,85,85,web developer,Course,web development toolsuser interfacefrontend web developmenthtml and cssresponsive web design,Computer Science,Introduction to Front-End Development
ECE,85,75,signal processing engineer,Course,data sciencemachine learningr programmingnatural language processing,Data Science,Data Science Capstone
CSIT,85,95,data scientist,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,Data Analysis and Visualization Foundations Specialization
CS,85,95,software engineer,Course,getting the most of data you collectcollecting data with a hypothesissharing new insights from data,Personal Development,Information Gathering and Vetting
CSIT,85,85,web developer,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,Web Design for Everybody: Basics of Web Development & Coding Specialization
CSIT,85,95,devops engineer,Course,data warehousingmaterialized viewdata warehousesql,Data Science,Relational Database Support for Data Warehouses
IT,85,85,web developer,Course,web designstyle sheetscascading style sheets cssweb development,Computer Science,Introduction to CSS3
ECE,75,75,iot developer,Course,creativitygraphicsdesign theorycolor theory,Arts and Humanities,Fundamentals of Graphic Design
CS,85,85,data scientist,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,Introduction to Data Science Specialization
IT,75,85,web developer,Specialization,computer graphics cg problem solving mathematics javascript computer programming,Computer Science,Introduction to Computer Science and Programming Specialization
ECE,85,75,signal processing engineer,Course,data sciencemachine learningr programmingnatural language processing,Data Science,Data Science Capstone
MCA,75,65,software developer,Course,lean software developmentagile software developmentsoftware development processscrum software development,Computer Science,Software Processes and Agile Practices
CS,85,85,cybersecurity analyst,Course,technical supportit service management itsmtroubleshootingit career,Information Technology,Introduction to Hardware and Operating Systems
EN,75,75,control systems engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Sample-based Learning Methods
MCA,75,65,software developer,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
CSAI,85,95,robotics engineer,Course,accounts receivable and cash receiptsinventory costing methodsppe accountingasset accountingdepreciation,Business,Assets in Accounting
CSIT,85,85,web developer,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,Cloud Application Development Foundations Specialization
CSIT,85,85,web developer,Course,data scienceselect sqlrelational databases rdbmsr programmingdata analysis,Data Science,SQL for Data Science with R
CS,85,85,ai engineer,Course,appositiongrammarenglish languageadjective,Language Learning,Adjectives and Adjective Clauses
MCA,50,50,data analyst,Course,data warehousingmaterialized viewdata warehousesql,Data Science,Relational Database Support for Data Warehouses
MCA,75,65,software developer,Specialization,engineering management agile management risk management stakeholder communications project management resource management business communication team management project planning budget management servant leadership strategic management,Business,Project Management Specialization
CSIT,85,85,data scientist,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,Applied Data Science with Python Specialization
CSME,85,85,product design engineer,Specialization,creativity strategic thinking design thinking innovation management innovation,Business,Design Thinking Specialization
IT,75,85,software engineer,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,Data Visualization & Dashboarding with R Specialization
CSIT,85,85,web developer,Course,css codehtmljavascriptcascading style sheets css,Computer Science,Introduction to Web Development
MCA,75,65,web developer,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,Working with Data
CSIT,85,95,devops engineer,Professional Certificate,performance advertisingdigital marketingbrand managementsocial media marketingcontent marketing,Business,Meta Social Media Marketing Professional Certificate
CSME,85,75,ai in manufacturing,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
CSIT,85,85,data scientist,Project,postgresqlkubernetescloud sql,Data Science,Connect an App to a Cloud SQL for PostgreSQL Instance
CSIT,85,75,software engineer,Professional Certificate,data scienceregression modelspredictive modellingexploratory data analysis edastatistical analysismachine learningpython programmingdata analysisjupyter notebooktableau softwaredata visualization datavizkaggle,Data Science,Google Advanced Data Analytics Professional Certificate
IT,75,85,software engineer,Course,data sciencespreadsheetmicrosoft exceldata analysispivot table,Data Science,Excel Basics for Data Analysis
CSIT,85,85,data scientist,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,Exploratory Data Analysis
IT,85,85,web developer,Course,hypertext preprocessor phphtmlcascading style sheets css,Computer Science,Building Web Applications in PHP
CSIT,85,95,data scientist,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,Introduction to Probability and Data with R
CSIT,85,85,devops engineer,Course,responding with an elevator pitchpreparing an informative lecturedelivering a persuasive speechengaging others with storytelling,Personal Development,Public Speaking and Presentations 
IT,85,85,web developer,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,Applied Data Science with R Specialization
CSIT,85,85,web developer,Specialization,delegation leadership coaching supervision,Personal Development,Habilidades Gerenciales  Specialization
ECE,85,95,iot developer,Specialization,python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,Computer Science,Hands-on Internet of Things Specialization
CSIT,85,95,devops engineer,Specialization,corporate finance financial accounting financial statement accounting decisionmaking discounted cash flow cash flow analysis balance sheet generally accepted accounting principles accounting terminology,Business,Introduction to Finance and Accounting Specialization
ECE,85,85,vlsi engineer,Specialization,tumour immunity allergyasthma autoimmunity infectious diseases immunology allergyasthma,Health,Immunology: The Immune System and its Failures Specialization
CSAI,85,85,robotics engineer,Professional Certificate,experiencia del usuario uxesquemadiseño de la experiencia del usuario uxdinvestigación en uxprototipoesquema de páginapruebas de usabilidadmaquetafigmaadobe xdtrabajos de diseño de ux,Ciencias de la Computación,Diseño de Experiencia del Usuario (UX) de Google Professional Certificate
IT,85,85,software engineer,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,Introduction to Artificial Intelligence (AI)
ECE,85,95,signal processing engineer,Specialization,convulsion data transmission audio processing ipython fourier analysis,Physical Science and Engineering,Digital Signal Processing Specialization
CSIT,85,85,devops engineer,Course,popular musicbreathing techniquesbeltingmusicsinging,Arts and Humanities,Singing Popular Music
CS,85,95,data scientist,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,Data Warehousing for Business Intelligence Specialization
CSIT,85,85,web developer,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,Introduction to Mobile Development
IT,75,85,software engineer,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
CSIT,85,95,data scientist,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,Exploratory Data Analysis
ECE,85,75,signal processing engineer,Course,interactivityplotlyweb applicationr programming,Data Science,Developing Data Products
ECE,85,75,signal processing engineer,Course,natural language toolkit nltktext miningpython programmingnatural language processing,Data Science,Applied Text Mining in Python
ECE,85,85,iot developer,Course,process managementcommunicationproblem solvingit customer support,Information Technology,Customer Service Fundamentals
CSIT,85,85,data scientist,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,Introduction to Accounting Data Analytics and Visualization
CS,85,85,cybersecurity analyst,Professional Certificate,information security analystit security analystsecurity analystjunior cybersecurity analyst,Information Technology,IBM Cybersecurity Analyst Professional Certificate
ECE,75,75,iot developer,Course,cudapython programmingthread computingc,Computer Science,Introduction to Concurrent Programming with GPUs
CS,85,95,ai engineer,Course,english grammarpunctuationgrammarwriting,Language Learning,Grammar and Punctuation
CS,85,95,data scientist,Course,data sciencedata analysismachine learning,Data Science,Data Science Fundamentals for Data Analysts
IT,85,85,cloud engineer,Project,cloud platformscloud storagegoogle cloud platform,Information Technology,A Tour of Google Cloud Hands-on Labs
ECE,85,75,signal processing engineer,Specialization,json database dbms natural language processing sql,Computer Science,PostgreSQL for Everybody Specialization
CSIT,85,75,web developer,Specialization,web interactivty jquery data manipulation javascript animations,Computer Science,JavaScript for Beginners Specialization
MCA,85,85,database administrator,Course,database dbmspython programmingweb scrapingmysqlsql,Data Science,Scripting with Python and SQL for Data Engineering
ME,75,75,design engineer,Course,autodeskcomputeraided design cadfusion mechanical engineeringmodeling,Physical Science and Engineering,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360
ECE,85,75,signal processing engineer,Course,testdriven developmentjavascriptfrontend web developmentobjectoriented programming oop,Computer Science,Programming with JavaScript
ECE,85,85,vlsi engineer,Course,survivorshipspiritual distresshospice,Health,Transitions in Care from Survivorship to Hospice
ECE,85,75,signal processing engineer,Course,wellbeingimproved symptom managementwholeperson caremindfulnessintegrative medicine,Health,Mindfulness in Integrative Healthcare
ECE,85,85,vlsi engineer,Course,cluster analysisdata clustering algorithmskmeans clusteringhierarchical clustering,Data Science,Cluster Analysis in Data Mining
CS,85,95,data scientist,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,Data Science Specialization
CSME,85,75,ai in manufacturing,Course,data analysistableau softwaremysqlsql,Data Science,Increasing Real Estate Management Profits: Harnessing Data Analytics
CSIT,85,85,devops engineer,Course,decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,Data Science, Supervised Machine Learning: Classification
CSIT,85,95,web developer,Specialization,web interactivty jquery data manipulation javascript animations,Computer Science,JavaScript for Beginners Specialization
CS,75,75,software engineer,Course,data sciencemachine learningdatabricks,Data Science,Applied Data Science for Data Analysts
CSIT,85,85,web developer,Course,web applicationfrontend web developmentreact web frameworkapplication development,Computer Science,React Basics
CSAI,85,85,robotics engineer,Specialization,optical system specification optimization of optical systems optical design,Physical Science and Engineering,Optical Engineering Specialization
ECE,85,85,vlsi engineer,Course,teachingcommunicationplanningattention deficit hyperactivity disorder adhd,Social Sciences,ADHD: Everyday Strategies for Elementary Students
MCA,75,65,software developer,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,Web Design for Everybody: Basics of Web Development & Coding Specialization
MCA,65,50,data analyst,Course,data analysismysqlteradatasql,Data Science,Managing Big Data with MySQL
MCA,85,65,data analyst,Course,data analysisinteractive visualizationtableau softwaredata visualization dataviz,Data Science,Data Visualization with Tableau Project
ECE,85,75,signal processing engineer,Course,image processingobject detectionmatlabvideo processing,Physical Science and Engineering,Automating Image Processing
IT,75,85,software engineer,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,Data Visualization with Tableau Specialization
IT,85,85,cloud engineer,Specialization,cloud platforms cloud storage google cloud platform google compute engine google app engine gae cloud computing mysql cloud sql sql operations database dbms data management postgresql,Information Technology,Google Cloud Database Engineer Specialization
CS,85,95,cybersecurity analyst,Specialization,costbased pricing pricing strategies marketbased pricing customer valuebased pricing strategic management channel and directtoconsumer pricing price discrimination price elasticity of demand customer willingness to pay measuring customer preferences customer psychology competitor pricing models,Business,Pricing Strategy Optimization Specialization
CSIT,85,85,data scientist,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,Introduction to Probability and Data with R
CSIT,85,95,web developer,Professional Certificate,linuxcódigo binariosolución de problemassoporte al clienteipvresolução de problemassistema de nomes de domínio dnsmodelo de redepowershellsistemas de arquivos do linuxinterface de comandoserviço de diretóriosbackupsdiretórios do ldapcriptografíasegurança de redecibersegurançasegurança de redes sem fio,Tecnologia da informação,Suporte em TI do Google Professional Certificate
IT,85,85,cloud engineer,Specialization,microsoft azure cloud computing cloud computing security artificial intelligence ai internet of things iot application design cloud governance strategy test preparation,Computer Science,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization
IT,85,85,cloud engineer,Specialization,tensorflow bigquery google cloud platform cloud computing,Data Science,"Data Engineering, Big Data, and Machine Learning on GCP Specialization"
IT,85,85,software engineer,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,Data Science with Databricks for Data Analysts Specialization
ME,75,75,design engineer,Specialization,artificial intelligence ai digital design manufacturing engineer industry,Physical Science and Engineering,Digital Manufacturing & Design Technology  Specialization
ECE,85,75,signal processing engineer,Professional Certificate,managing and encrypting a zerotrust environmentdeploying vpns and sslssh encryptionanalyzing firewall logs and configuring security controlsconfiguring network protection and dynamic routing using firewallsmitigating vulnerabilities using packet capture and analysis,Information Technology,Palo Alto Networks Cybersecurity Professional Certificate
CSIT,85,85,data scientist,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,Accounting Data Analytics Specialization
CSIT,85,85,web developer,Specialization,credit risk measurement and management application of financial statistics and probability market risk measurement and management operational risk measurement and management risk management financial risk leadership and financial risk estimation and management regulations credit analysis financial analysis credit risk market risk management,Business,Risk Management Specialization
CSIT,85,95,data scientist,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,Survey Data Collection and Analytics  Specialization
CSAI,85,85,robotics engineer,Course,brand managementasset managementvalue propositionintellectual property,Social Sciences,Introduction to Intellectual Property
CSME,85,85,product design engineer,Specialization,business writing presentation graphic design writing grammar communication graphics typography public speaking communication design,Business,"Effective Communication: Writing, Design, and Presentation Specialization"
IT,75,85,web developer,Professional Certificate,cloud nativedevopsiaas paas saashybrid multicloudcloud computingcascading style sheets csshtmlgit softwarejavascriptcloud applicationsdistributed version control drcsopen sourceversion control systemsgithubweb developmentuser interfacereact web frameworkfrontend developmentbackend developmentserverside javascriptexpresscomputer sciencedata sciencepython programmingdata analysispandasnumpyartificial intelligence aiweb applicationapplication developmentflaskdjango web frameworkdatabase dbmssqlkubernetesdockercontainersopenshiftswaggerserverlessmicroservicesrepresentational state transfer restibm code enginenodejs,Information Technology,IBM Full Stack Software Developer Professional Certificate
ECE,85,75,signal processing engineer,Specialization,json database dbms natural language processing sql,Computer Science,PostgreSQL for Everybody Specialization
ECE,75,75,embedded systems engineer,Course,bioinformaticsstatisticsdata sciencecomputational biology,Data Science,Introduction to Genomic Technologies
CS,85,85,data scientist,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,Data Science Specialization
ECE,85,95,signal processing engineer,Course,spatial analysisdata analysisdata visualization datavizsoftware,Physical Science and Engineering,Fundamentals of GIS
CS,85,85,data scientist,Course,data analysispython programmingdatabase dbmsdata visualization dataviz,Data Science,"Capstone: Retrieving, Processing, and Visualizing Data with Python"
CSIT,85,85,data scientist,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,Data Analysis and Visualization Foundations Specialization
CSME,85,75,ai in manufacturing,Course,data sciencedata analysissqlitesql,Data Science,SQL for Data Science
CS,85,85,data scientist,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,Data Visualization & Dashboarding with R Specialization
CSIT,85,85,web developer,Specialization,motion planning particle filter matlab robotics quadcoper automated planning and scheduling a search algorithm serial line internet protocol slip robot computer vision estimation random sample consensus ransac,Physical Science and Engineering,Robotics Specialization
CSIT,85,85,web developer,Specialization,jquery web application development hypertext preprocessor php javascript mysql html cascading style sheets css phpmyadmin relational database sql create read update and delete,Computer Science,Web Applications for Everybody Specialization
ECE,85,85,embedded systems engineer,Course,grammarkorean languagespeechwriting,Language Learning,First Step Korean
CSIT,85,85,web developer,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,Web Design for Everybody: Basics of Web Development & Coding Specialization
MCA,85,65,data analyst,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,Introduction to Data Analytics
ECE,85,75,signal processing engineer,Course,data sciencegithubpython programmingjupyter notebooksrstudio,Data Science,Tools for Data Science
EN,75,75,control systems engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Fundamentals of Reinforcement Learning
CS,65,65,machine learning engineer,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,Machine Learning on Google Cloud Specialization
CSAI,85,85,robotics engineer,Course,image processingimage segmentationmatlab,Physical Science and Engineering,Introduction to Image Processing
MCA,75,65,software developer,Specialization,bash unix shell database dbms web application python programming sql vim pandas visual studio code data structure data management linux web scraping,Information Technology,"Python, Bash and SQL Essentials for Data Engineering Specialization"
IT,85,75,data analyst,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,Introduction to Accounting Data Analytics and Visualization
IT,85,75,data analyst,Course,data analysisinteractive visualizationtableau softwaredata visualization dataviz,Data Science,Data Visualization with Tableau Project
CSIT,85,85,devops engineer,Specialization,financial accounting financial modeling mergers and acquisitions ma corporate investments accounting taxes financial statement corporate accouting,Business,Mergers and Acquisitions  Specialization
CS,85,85,data scientist,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,Excel Skills for Data Analytics and Visualization Specialization
CSIT,85,85,devops engineer,Course,selfassessmentskills managementstrategypersonal brandingcompetitiveness,Personal Development,Strategic Self-Marketing and Personal Branding
ECE,85,85,vlsi engineer,Course,logical controlsadministrative controlsphysical controls,Information Technology,Access Control Concepts
CS,85,95,data scientist,Course,data analysismysqlteradatasql,Data Science,Managing Big Data with MySQL
IT,75,85,software engineer,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,IBM AI Enterprise Workflow Specialization
CSIT,85,85,devops engineer,Course,statistical analysisprobability and statisticsprobabilitystatistical hypothesis testingmachine learning ml algorithms,Computer Science,Probability & Statistics for Machine Learning & Data Science
CSIT,85,95,web developer,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,Meta React Native Specialization
CSIT,85,95,devops engineer,Course,video postproductionvideo editingvideo productionediting,Personal Development,Bring Your Story to Life – Video Post-Production
CS,85,95,data scientist,Course,regression analysisdata cleansingpredictive modellingexploratory data analysis,Data Science,Predictive Modeling and Analytics 
CSIT,85,95,devops engineer,Course,python programmingdatabase dbmssqlitesql,Computer Science,Using Databases with Python
CS,85,85,data scientist,Specialization,data analysis microsoft excel data visualization dataviz presentation datainformed decisionmaking big data pivot table data cleansing dashboard business data virtualization communication presentation design,Business,Data Analysis and Presentation Skills: the PwC Approach Specialization
MCA,65,50,web developer,Course,denturesfoamstoedecontamination,Health,Trauma Emergencies and Care
CS,85,75,cybersecurity analyst,Course,cybersecurity planningcybersecurity performance measurementrisk identificationrisk treatment,Information Technology,The GRC Approach to Managing Cybersecurity
CS,75,75,software engineer,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,Exploratory Data Analysis
IT,85,75,data analyst,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,Introduction to Data Science Specialization
ME,75,75,design engineer,Specialization,design video game development concept art animation d modeling,Arts and Humanities,Art for Games  Specialization
CS,85,85,ai engineer,Professional Certificate,manage azure resources for machine learningdeploy and operationalize machine learning solutionsrun experiments and train modelsimplement responsible machine learning,Computer Science,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
CSIT,85,85,web developer,Course,web designfrontend web developmentuser experience uxaccessibility,Computer Science,Principles of UX/UI Design
ECE,75,95,signal processing engineer,Course,organizational cultureethicsdecisionmakingstrategic leadershiporganizational change,Business,Managing the Organization
CSIT,75,75,devops engineer,Course,confidence intervalpython programmingstatistical inferencestatistical hypothesis testing,Data Science,Inferential Statistical Analysis with Python
CSIT,85,75,web developer,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,Meta React Native Specialization
ECE,75,75,iot developer,Course,python syntax and semanticsbasic programming languagecomputer programmingpython programming,Computer Science,Programming for Everybody (Getting Started with Python)
CS,85,95,data scientist,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,Big Data Specialization
CS,85,75,cybersecurity analyst,Course,grammarmedical writingscience communicationwriting,Health,Writing in the Sciences
CS,85,85,cybersecurity analyst,Specialization,threat intelligence digital forensics data breach cybersecurity analyst computer security incident management scripting forensics penetration test cybersecurity application security network defensive tactics security analyst,Information Technology,Security Analyst Fundamentals Specialization
ECE,85,75,signal processing engineer,Course,natural language processinglong short term memory lstmgated recurrent unit grurecurrent neural networkattention models,Data Science,Sequence Models
CS,85,95,data scientist,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,Data Science Specialization
ECE,75,75,embedded systems engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Fundamentals of Reinforcement Learning
CS,85,85,data scientist,Course,data sciencer programmingdata visualization datavizlinear regressionexploratory data analysis,Data Science,Data Science with R - Capstone Project
CS,85,95,software engineer,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,Machine Learning on Google Cloud Specialization
CS,85,95,data scientist,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,Data Visualization & Dashboarding with R Specialization
ECE,85,75,signal processing engineer,Course,image processingobject detectionmatlabvideo processing,Physical Science and Engineering,Automating Image Processing
IT,85,85,web developer,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,Introduction to Mobile Development
ECE,85,95,signal processing engineer,Course,image processingobject detectionmatlabvideo processing,Physical Science and Engineering,Automating Image Processing
MCA,50,50,data analyst,Course,data analysismysqlteradatasql,Data Science,Managing Big Data with MySQL
CS,85,95,ai engineer,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,Introduction to Artificial Intelligence (AI)
CS,85,85,data scientist,Specialization,data analysis apache spark delta lake sql data science sqlite ab testing query string predictive analytics presentation skills creating metrics exploratory data analysis,Data Science,Learn SQL Basics for Data Science Specialization
ECE,85,75,signal processing engineer,Course,product developmentideationproduct managementproduct designuser experience ux,Business,Establishing Product-Market Fit
ECE,85,85,iot developer,Course,foresightcreativitystrategic planninginnovationleadership,Business,Urgent Optimism: How to Turn Foresight into Action
CSIT,85,85,devops engineer,Course,user researchpersona user experienceuser experience uxhumancomputer interaction,Computer Science,User Experience: Research & Prototyping
MCA,65,50,web developer,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,Cloud Application Development Foundations Specialization
CS,65,65,machine learning engineer,Specialization,data science artificial intelligence ai machine learning predictive analytics modeling artificial neural network project management privacy design thinking ethics,Data Science,AI Product Management Specialization
CS,85,95,data scientist,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,Analyze Datasets and Train ML Models using AutoML
ECE,85,85,iot developer,Course,virtual machineversion controlhypervisoruse case,Computer Science,Linux Cloud and DevOps
CSIT,85,95,web developer,Specialization,bash unix shell database dbms web application python programming sql vim pandas visual studio code data structure data management linux web scraping,Information Technology,"Python, Bash and SQL Essentials for Data Engineering Specialization"
ECE,85,95,signal processing engineer,Specialization,lean six sigma process improvement six sigma green belt six sigma process capability,Business,Six Sigma Green Belt Specialization
CSIT,85,95,data scientist,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,Introduction to Probability and Data with R
ECE,85,75,signal processing engineer,Specialization,strategic foresight simulation scenario design future forecasting foresight creativity strategic thinking innovation leadership scenario development strategic planning gaming,Business,Futures Thinking Specialization
CSAI,85,85,robotics engineer,Course,professionalpresentationspeechwriting,Language Learning,Take Your English Communication Skills to the Next Level
CS,85,75,cybersecurity analyst,Specialization,computer programming java programming web development java database connectivity jdbc java class library objectoriented programming oop crt recursively enumerable set java compiler javac iterator linearity,Computer Science,Core Java Specialization
IT,85,85,cloud engineer,Course,cloud nativedevopsiaas paas saashybrid multicloudcloud computing,Information Technology,Introduction to Cloud Computing
ECE,85,75,signal processing engineer,Specialization,communication medical language health records human anatomy,Health,Medical Terminology Specialization
ECE,85,85,signal processing engineer,Course,marketing planmarket analysissocial media marketingecommerce,Business,Advertising and E-commerce on TikTok
CS,85,85,data scientist,Specialization,data science data management data analysis communication leadership machine learning project team building management team management interpretation exploratory data analysis,Data Science,Executive Data Science Specialization
MCA,50,50,data analyst,Course,python programmingnumpypandasdata cleansing,Data Science,Introduction to Data Science in Python
ECE,85,85,vlsi engineer,Course,computer programmingpython programminginternet of things iotraspberry pi,Computer Science,The Raspberry Pi Platform and Python Programming for the Raspberry Pi
