Branch,Percentage_10th,Percentage_12th,Course Type,Skills,Category,Skills_Count,Academic_Score
CSIT,85,85,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,85.0
CSIT,85,95,Course,data warehousingmaterialized viewdata warehousesql,Data Science,4,91.0
IT,85,85,Course,web designstyle sheetscascading style sheets cssweb development,Computer Science,7,85.0
CS,85,85,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,24,85.0
IT,75,85,Specialization,computer graphics cg problem solving mathematics javascript computer programming,Computer Science,9,81.0
ECE,85,75,Course,data sciencemachine learningr programmingnatural language processing,Data Science,6,79.0
MCA,75,65,Course,lean software developmentagile software developmentsoftware development processscrum software development,Computer Science,9,69.0
CS,85,85,Course,technical supportit service management itsmtroubleshootingit career,Information Technology,6,85.0
MCA,75,65,Course,data analysisdebuggingr programmingrstudio,Data Science,3,69.0
CSIT,85,85,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,25,85.0
CSIT,85,85,Course,data scienceselect sqlrelational databases rdbmsr programmingdata analysis,Data Science,7,85.0
MCA,50,50,Course,data warehousingmaterialized viewdata warehousesql,Data Science,4,50.0
MCA,75,65,Specialization,engineering management agile management risk management stakeholder communications project management resource management business communication team management project planning budget management servant leadership strategic management,Business,24,69.0
CSIT,85,85,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,25,85.0
IT,75,85,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,9,81.0
CSIT,85,85,Course,css codehtmljavascriptcascading style sheets css,Computer Science,5,85.0
MCA,75,65,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,6,69.0
CSIT,85,95,Professional Certificate,performance advertisingdigital marketingbrand managementsocial media marketingcontent marketing,Business,7,91.0
CSIT,85,85,Project,postgresqlkubernetescloud sql,Data Science,2,85.0
CSIT,85,75,Professional Certificate,data scienceregression modelspredictive modellingexploratory data analysis edastatistical analysismachine learningpython programmingdata analysisjupyter notebooktableau softwaredata visualization datavizkaggle,Data Science,15,79.0
IT,75,85,Course,data sciencespreadsheetmicrosoft exceldata analysispivot table,Data Science,5,81.0
CSIT,85,85,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,5,85.0
IT,85,85,Course,hypertext preprocessor phphtmlcascading style sheets css,Computer Science,6,85.0
CSIT,85,95,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,4,91.0
IT,85,85,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,29,85.0
ECE,85,95,Specialization,python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,Computer Science,20,91.0
CSIT,85,95,Specialization,corporate finance financial accounting financial statement accounting decisionmaking discounted cash flow cash flow analysis balance sheet generally accepted accounting principles accounting terminology,Business,22,91.0
ECE,85,85,Specialization,tumour immunity allergyasthma autoimmunity infectious diseases immunology allergyasthma,Health,8,85.0
IT,85,85,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,85.0
CS,85,95,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,28,91.0
CSIT,85,85,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,7,85.0
IT,75,85,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,81.0
CSIT,85,95,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,5,91.0
ECE,85,75,Course,interactivityplotlyweb applicationr programming,Data Science,3,79.0
ECE,85,75,Course,natural language toolkit nltktext miningpython programmingnatural language processing,Data Science,8,79.0
ECE,85,85,Course,process managementcommunicationproblem solvingit customer support,Information Technology,5,85.0
CSIT,85,85,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,6,85.0
CS,85,85,Professional Certificate,information security analystit security analystsecurity analystjunior cybersecurity analyst,Information Technology,8,85.0
ECE,75,75,Course,cudapython programmingthread computingc,Computer Science,3,75.0
CS,85,95,Course,data sciencedata analysismachine learning,Data Science,4,91.0
IT,85,85,Project,cloud platformscloud storagegoogle cloud platform,Information Technology,5,85.0
ECE,85,75,Specialization,json database dbms natural language processing sql,Computer Science,7,79.0
CSIT,85,75,Specialization,web interactivty jquery data manipulation javascript animations,Computer Science,7,79.0
MCA,85,85,Course,database dbmspython programmingweb scrapingmysqlsql,Data Science,4,85.0
ECE,85,75,Course,testdriven developmentjavascriptfrontend web developmentobjectoriented programming oop,Computer Science,6,79.0
ECE,85,85,Course,survivorshipspiritual distresshospice,Health,2,85.0
ECE,85,75,Course,wellbeingimproved symptom managementwholeperson caremindfulnessintegrative medicine,Health,5,79.0
ECE,85,85,Course,cluster analysisdata clustering algorithmskmeans clusteringhierarchical clustering,Data Science,6,85.0
CS,85,95,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,22,91.0
CSIT,85,85,Course,decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,Data Science,8,85.0
CSIT,85,95,Specialization,web interactivty jquery data manipulation javascript animations,Computer Science,7,91.0
CS,75,75,Course,data sciencemachine learningdatabricks,Data Science,3,75.0
CSIT,85,85,Course,web applicationfrontend web developmentreact web frameworkapplication development,Computer Science,7,85.0
MCA,75,65,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,69.0
MCA,65,50,Course,data analysismysqlteradatasql,Data Science,2,56.0
MCA,85,65,Course,data analysisinteractive visualizationtableau softwaredata visualization dataviz,Data Science,6,73.0
IT,75,85,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,18,81.0
IT,85,85,Specialization,cloud platforms cloud storage google cloud platform google compute engine google app engine gae cloud computing mysql cloud sql sql operations database dbms data management postgresql,Information Technology,26,85.0
CS,85,95,Specialization,costbased pricing pricing strategies marketbased pricing customer valuebased pricing strategic management channel and directtoconsumer pricing price discrimination price elasticity of demand customer willingness to pay measuring customer preferences customer psychology competitor pricing models,Business,33,91.0
CSIT,85,85,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,4,85.0
IT,85,85,Specialization,microsoft azure cloud computing cloud computing security artificial intelligence ai internet of things iot application design cloud governance strategy test preparation,Computer Science,21,85.0
IT,85,85,Specialization,tensorflow bigquery google cloud platform cloud computing,Data Science,7,85.0
IT,85,85,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,10,85.0
ECE,85,75,Professional Certificate,managing and encrypting a zerotrust environmentdeploying vpns and sslssh encryptionanalyzing firewall logs and configuring security controlsconfiguring network protection and dynamic routing using firewallsmitigating vulnerabilities using packet capture and analysis,Information Technology,29,79.0
CSIT,85,85,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,24,85.0
CSIT,85,85,Specialization,credit risk measurement and management application of financial statistics and probability market risk measurement and management operational risk measurement and management risk management financial risk leadership and financial risk estimation and management regulations credit analysis financial analysis credit risk market risk management,Business,42,85.0
CSIT,85,95,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,15,91.0
IT,75,85,Professional Certificate,cloud nativedevopsiaas paas saashybrid multicloudcloud computingcascading style sheets csshtmlgit softwarejavascriptcloud applicationsdistributed version control drcsopen sourceversion control systemsgithubweb developmentuser interfacereact web frameworkfrontend developmentbackend developmentserverside javascriptexpresscomputer sciencedata sciencepython programmingdata analysispandasnumpyartificial intelligence aiweb applicationapplication developmentflaskdjango web frameworkdatabase dbmssqlkubernetesdockercontainersopenshiftswaggerserverlessmicroservicesrepresentational state transfer restibm code enginenodejs,Information Technology,40,81.0
ECE,85,75,Specialization,json database dbms natural language processing sql,Computer Science,7,79.0
ECE,75,75,Course,bioinformaticsstatisticsdata sciencecomputational biology,Data Science,3,75.0
CS,85,85,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,22,85.0
CS,85,85,Course,data analysispython programmingdatabase dbmsdata visualization dataviz,Data Science,6,85.0
CSIT,85,85,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,16,85.0
CS,85,85,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,9,85.0
CSIT,85,85,Specialization,jquery web application development hypertext preprocessor php javascript mysql html cascading style sheets css phpmyadmin relational database sql create read update and delete,Computer Science,23,85.0
CSIT,85,85,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,85.0
MCA,85,65,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,6,73.0
ECE,85,75,Course,data sciencegithubpython programmingjupyter notebooksrstudio,Data Science,4,79.0
CS,65,65,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,27,65.0
MCA,75,65,Specialization,bash unix shell database dbms web application python programming sql vim pandas visual studio code data structure data management linux web scraping,Information Technology,22,69.0
IT,85,75,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,6,79.0
IT,85,75,Course,data analysisinteractive visualizationtableau softwaredata visualization dataviz,Data Science,6,79.0
CSIT,85,85,Specialization,financial accounting financial modeling mergers and acquisitions ma corporate investments accounting taxes financial statement corporate accouting,Business,16,85.0
CS,85,85,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,13,85.0
ECE,85,85,Course,logical controlsadministrative controlsphysical controls,Information Technology,4,85.0
CS,85,95,Course,data analysismysqlteradatasql,Data Science,2,91.0
IT,75,85,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,11,81.0
CSIT,85,85,Course,statistical analysisprobability and statisticsprobabilitystatistical hypothesis testingmachine learning ml algorithms,Computer Science,9,85.0
CSIT,85,95,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,26,91.0
CS,85,95,Course,regression analysisdata cleansingpredictive modellingexploratory data analysis,Data Science,6,91.0
CSIT,85,95,Course,python programmingdatabase dbmssqlitesql,Computer Science,3,91.0
CS,85,85,Specialization,data analysis microsoft excel data visualization dataviz presentation datainformed decisionmaking big data pivot table data cleansing dashboard business data virtualization communication presentation design,Business,23,85.0
MCA,65,50,Course,denturesfoamstoedecontamination,Health,1,56.0
CS,85,75,Course,cybersecurity planningcybersecurity performance measurementrisk identificationrisk treatment,Information Technology,6,79.0
CS,75,75,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,5,75.0
IT,85,75,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,24,79.0
CS,85,85,Professional Certificate,manage azure resources for machine learningdeploy and operationalize machine learning solutionsrun experiments and train modelsimplement responsible machine learning,Computer Science,18,85.0
CSIT,85,85,Course,web designfrontend web developmentuser experience uxaccessibility,Computer Science,6,85.0
ECE,75,95,Course,organizational cultureethicsdecisionmakingstrategic leadershiporganizational change,Business,4,87.0
CSIT,75,75,Course,confidence intervalpython programmingstatistical inferencestatistical hypothesis testing,Data Science,6,75.0
CSIT,85,75,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,26,79.0
ECE,75,75,Course,python syntax and semanticsbasic programming languagecomputer programmingpython programming,Computer Science,8,75.0
CS,85,95,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,91.0
CS,85,75,Course,grammarmedical writingscience communicationwriting,Health,3,79.0
CS,85,85,Specialization,threat intelligence digital forensics data breach cybersecurity analyst computer security incident management scripting forensics penetration test cybersecurity application security network defensive tactics security analyst,Information Technology,24,85.0
ECE,85,75,Course,natural language processinglong short term memory lstmgated recurrent unit grurecurrent neural networkattention models,Data Science,13,79.0
CS,85,95,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,22,91.0
ECE,75,75,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,7,75.0
CS,85,85,Course,data sciencer programmingdata visualization datavizlinear regressionexploratory data analysis,Data Science,8,85.0
CS,85,95,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,27,91.0
CS,85,95,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,9,91.0
IT,85,85,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,7,85.0
MCA,50,50,Course,data analysismysqlteradatasql,Data Science,2,50.0
CS,85,95,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,91.0
CS,85,85,Specialization,data analysis apache spark delta lake sql data science sqlite ab testing query string predictive analytics presentation skills creating metrics exploratory data analysis,Data Science,23,85.0
ECE,85,75,Course,product developmentideationproduct managementproduct designuser experience ux,Business,6,79.0
ECE,85,85,Course,foresightcreativitystrategic planninginnovationleadership,Business,2,85.0
CSIT,85,85,Course,user researchpersona user experienceuser experience uxhumancomputer interaction,Computer Science,7,85.0
MCA,65,50,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,25,56.0
CS,65,65,Specialization,data science artificial intelligence ai machine learning predictive analytics modeling artificial neural network project management privacy design thinking ethics,Data Science,19,65.0
CS,85,95,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,15,91.0
ECE,85,85,Course,virtual machineversion controlhypervisoruse case,Computer Science,4,85.0
CSIT,85,95,Specialization,bash unix shell database dbms web application python programming sql vim pandas visual studio code data structure data management linux web scraping,Information Technology,22,91.0
ECE,85,95,Specialization,lean six sigma process improvement six sigma green belt six sigma process capability,Business,13,91.0
CSIT,85,95,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,4,91.0
ECE,85,75,Specialization,strategic foresight simulation scenario design future forecasting foresight creativity strategic thinking innovation leadership scenario development strategic planning gaming,Business,18,79.0
CS,85,75,Specialization,computer programming java programming web development java database connectivity jdbc java class library objectoriented programming oop crt recursively enumerable set java compiler javac iterator linearity,Computer Science,25,79.0
IT,85,85,Course,cloud nativedevopsiaas paas saashybrid multicloudcloud computing,Information Technology,6,85.0
ECE,85,75,Specialization,communication medical language health records human anatomy,Health,7,79.0
ECE,85,85,Course,marketing planmarket analysissocial media marketingecommerce,Business,5,85.0
CS,85,85,Specialization,data science data management data analysis communication leadership machine learning project team building management team management interpretation exploratory data analysis,Data Science,20,85.0
MCA,50,50,Course,python programmingnumpypandasdata cleansing,Data Science,3,50.0
ECE,85,85,Course,computer programmingpython programminginternet of things iotraspberry pi,Computer Science,7,85.0
CS,85,95,Specialization,data science deep learning artificial intelligence ai machine learning watson computer jobs application programming interfaces api watson,Data Science,17,91.0
CS,85,95,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,91.0
IT,85,85,Specialization,google compute engine google app engine gae google cloud platform cloud computing,Information Technology,12,85.0
MCA,65,50,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,29,56.0
IT,85,75,Course,data sciencestatistical analysisr programmingdata analysisdata visualization dataviz,Data Science,7,79.0
IT,75,85,Specialization,cascading style sheets css html javascript sql django web framework hypertext transfer protocol http django template language get post objectoriented programming oop crosssite scripting forgery csrf user authentication sessions and cookies,Computer Science,31,81.0
ECE,75,75,Course,monte carlo methodmicrosoft excellinear programming lpsolver,Business,6,75.0
CSIT,85,95,Course,ab testinguser experience uxuser experience design uxduser interface,Computer Science,8,91.0
IT,85,85,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,85.0
CS,85,95,Course,nursinghealthcaredebriefinginacsl standardsclinical simulation,Health,3,91.0
IT,75,85,Specialization,programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,Computer Science,27,81.0
CS,85,85,Specialization,data science deep learning artificial intelligence ai machine learning watson computer jobs application programming interfaces api watson,Data Science,17,85.0
CSIT,85,75,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,26,79.0
CS,85,85,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,22,85.0
ECE,85,85,Course,basic python data structuresfundamental programming conceptsbasic python syntaxpython programmingobjectoriented programming oop,Information Technology,11,85.0
ECE,85,85,Specialization,experiment neuroscience r programming image processing statistics statistical analysis statistical model preprocessor brain neurology,Data Science,14,85.0
MCA,85,85,Course,data sciencedata analysismanagementdata management,Business,4,85.0
CSIT,85,95,Specialization,data validation microsoft excel microsoft excel macro pivot table graphs spreadsheet chart concatenation consolization pivot chart lookup table microsoft excel vba,Business,21,91.0
ECE,85,95,Specialization,natural language processing with bert ml pipelines and ml operations mlops ab testing and model deployment data labeling at scale automated machine learning automl statistical data bias detection multiclass classification with fasttext and blazingtext data ingestion exploratory data analysis ml pipelines and mlops model training and deployment with bert model debugging and evaluation,Data Science,53,91.0
CSIT,85,85,Course,marketingtrade marketingretailingmarketing mixretail management,Business,4,85.0
MCA,50,50,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,50.0
ECE,85,95,Specialization,scala programming parallel computing apache spark functional programming recursion immutable data types higherorder function laziness type class referential transparency reactive programming data structure,Computer Science,23,91.0
MCA,75,65,Specialization,data science github python programming jupyter notebooks rstudio data analysis pandas numpy probability and statistics regression analysis data visualization dataviz statistical hypothesis testing,Data Science,23,69.0
IT,85,75,Specialization,data analysis microsoft excel data visualization dataviz presentation datainformed decisionmaking big data pivot table data cleansing dashboard business data virtualization communication presentation design,Business,23,79.0
ECE,75,75,Course,creativityprototypingdesign thinkinginnovationinclusive innovation,Business,3,75.0
CSIT,85,95,Course,css codehtmljavascriptcascading style sheets css,Computer Science,5,91.0
IT,75,85,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,81.0
ECE,85,75,Professional Certificate,computer visionconvolutional neural networkmachine learningnatural language processing,Data Science,7,79.0
ECE,75,75,Course,productmarket fitproduct managementdesign thinkinginnovation pipelinelean startup,Business,6,75.0
CSIT,85,85,Course,biodiversitybiologyevolutionpaleontology,Health,1,85.0
CS,85,85,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,11,85.0
MCA,75,65,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,21,69.0
CS,75,75,Course,data analysisinteractive visualizationtableau softwaredata visualization dataviz,Data Science,6,75.0
CSIT,85,75,Course,bootstrap frontend frameworkresponsive web designjavascriptcascading style sheets css,Computer Science,8,79.0
CSIT,85,85,Course,bash unix shelldatabase dbmsdata managementlinux,Information Technology,5,85.0
MCA,85,85,Specialization,data science artificial intelligence ai information technology it architecture data architecture leadership deep learning jobs machine learning big data data mining management analytics,Data Science,23,85.0
CSIT,85,85,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,85.0
CSIT,85,85,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,15,85.0
CSIT,85,95,Course,health informaticsnutritionfood safetyfood science,Health,4,91.0
CSIT,75,85,Course,data clustering algorithmskmeans clusteringmachine learningkd tree,Data Science,6,81.0
CSIT,75,85,Specialization,prototyping fusion tinkercad d printing d modeling materials product development new product development humancomputer interaction,Computer Science,15,81.0
CS,75,85,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,24,81.0
CS,85,95,Specialization,data science github python programming jupyter notebooks rstudio data analysis pandas numpy probability and statistics regression analysis data visualization dataviz statistical hypothesis testing,Data Science,23,91.0
ECE,85,75,Specialization,experiment neuroscience r programming image processing statistics statistical analysis statistical model preprocessor brain neurology,Data Science,14,79.0
CS,85,75,Specialization,marketing plan market research positioning marketing value proposition consumer behaviour data analysis market segmentation marketing process market analysis planning marketing strategy,Business,21,79.0
CS,85,95,Course,cloud storagedata storegoogle cloud platformcloud computing,Computer Science,6,91.0
MCA,50,50,Specialization,describe how to work with relational data on azure describe core data concepts describe how to work with nonrelational data on azure describe an analytics workload on azure microsoft azure data management data storage data concepts database dbms nosql sql relational data,Data Science,42,50.0
CSIT,85,75,Course,data sciencepython programmingdata analysispandasjupyter notebooks,Data Science,5,79.0
CSIT,85,85,Course,data analysisdebuggingr programmingrstudio,Data Science,3,85.0
CS,65,65,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,11,65.0
IT,85,85,Course,data sciencemachine learningr programmingnatural language processing,Data Science,6,85.0
MCA,85,65,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,22,73.0
CSIT,85,75,Course,data sciencepython programmingdata analysispandasnumpy,Data Science,4,79.0
CSIT,85,75,Professional Certificate,ios app developmentapplication developmentmobile developmentlinuxweb developmentbash unix shellgithubversion controlswift programmingweb designfrontend web developmentuser experience uxaccessibilityuse navigation in your appsjsonapiscore data create simple javascript code create and manipulate objects and arrays write unit testing using jestweb applicationreact web frameworkreact javascript libraryreactsoftware architectureui developmentdata managementpseudocodealgorithmscommunicationdata structurecomputer science,Computer Science,45,79.0
IT,75,85,Course,web applicationfrontend web developmentreact web frameworkapplication development,Computer Science,7,81.0
CS,85,85,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,9,85.0
CS,85,95,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,24,91.0
CS,85,95,Course,software development processdatabase managementit fundamentalssoftware application developmentcomputer programming,Computer Science,8,91.0
ECE,85,75,Specialization,json database dbms natural language processing sql,Computer Science,7,79.0
MCA,75,65,Course,data analysismysqlteradatasql,Data Science,2,69.0
MCA,85,65,Course,data sciencemethodologycrispdmdata analysisdata mining,Data Science,4,73.0
ECE,85,95,Course,accountinganalyticsearnings managementfinance,Business,2,91.0
CSIT,85,85,Course,symptom managementcommunicationpatientcentered caresymptom assessment,Health,4,85.0
CSIT,85,85,Course,data analysismysqlteradatasql,Data Science,2,85.0
CSIT,85,75,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,22,79.0
ECE,85,85,Specialization,subnetwork cybersecurity enterprise system linux information security infosec,Information Technology,8,85.0
IT,75,85,Specialization,bioinformatics statistics data science computational biology biopython python programming genomics bioinformatics algorithms algorithms algorithms on strings samtools unix,Data Science,18,81.0
ECE,85,75,Course,competition economicsconjoint analysispricing strategiesexecutive presentationpricing economics,Business,6,79.0
CS,85,95,Specialization,data science machine learning github r programming exploratory data analysis rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,23,91.0
ECE,75,75,Course,software developmentagile managementprogram evaluation and review technique pertagile software development,Computer Science,10,75.0
CSIT,85,85,Course,data sciencer programming,Data Science,3,85.0
ECE,85,85,Specialization,organizational culture business transformation business value business strategy business case analysis,Information Technology,11,85.0
ECE,85,85,Course,business casebusiness analyticsmanagement consultingproblem solvingconsulting,Business,5,85.0
CSIT,85,85,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,22,85.0
CS,85,75,Specialization,finance trading investment machine learning applied to finance algorithmic trading python programming machine learning reinforcement learning model development reinforcement learning trading algorithm optimization reinforcement learning trading strategy development reinforcement learning trading algo development,Data Science,33,79.0
CS,85,95,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,24,91.0
CSIT,85,95,Course,react javascript libraryreactapplication developmentmobile development,Computer Science,5,91.0
CS,85,85,Specialization,codeskulptor data analysis python programming data visualization dataviz python syntax and semantics debugging tuple list label,Computer Science,16,85.0
ECE,85,75,Professional Certificate,site reliability engineering sredevops engineeringkubernetesagile methodologiescontinuous integration and continuous deployment cicd,Computer Science,11,79.0
CS,85,85,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,85.0
CS,85,95,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,24,91.0
CS,85,95,Course,data sciencepython programmingdata analysispandasjupyter notebooks,Data Science,5,91.0
CS,85,85,Course,data sciencedata analysismachine learning,Data Science,4,85.0
