Title,Category,Course Type,Skills,course_id
Business Analytics Specialization,Data Science,Specialization,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ",business_analytics_specialization
Excel Skills for Business Specialization,Business,Specialization,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ",excel_skills_for_business_specialization
Learn SQL Basics for Data Science Specialization,Data Science,Specialization,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ",learn_sql_basics_for_data_science_specialization
The Materiality of ESG Factors Specialization,Business,Specialization,"ESG, Investment, Climate Change, Finance, social activism, ",the_materiality_of_esg_factors_specialization
AI For Business Specialization,Business,Specialization,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ",ai_for_business_specialization
Digital Product Management Specialization,Computer Science,Specialization,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",digital_product_management_specialization
Leading the Modern Day Business Specialization,Business,Specialization,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ",leading_the_modern_day_business_specialization
Graphic Design Specialization,Arts and Humanities,Specialization,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ",graphic_design_specialization
Security Analyst Fundamentals Specialization,Information Technology,Specialization,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",security_analyst_fundamentals_specialization
Improve Your English Communication Skills Specialization,Language Learning,Specialization,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",improve_your_english_communication_skills_speciali
Entrepreneurship Specialization,Business,Specialization,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ",entrepreneurship_specialization
Foundations of Positive Psychology  Specialization,Business,Specialization,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ",foundations_of_positive_psychology__specialization
Data Science Specialization,Data Science,Specialization,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",data_science_specialization
Supply Chain Management Specialization,Business,Specialization,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ",supply_chain_management_specialization
Fintech: Foundations & Applications of Financial Technology Specialization,Business,Specialization,"Investment Management, Cryptocurrency, regulation, Blockchain, ",fintech_foundations__applications_of_financial_tec
Microsoft 365 Fundamentals Specialization,Business,Specialization,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ",microsoft_365_fundamentals_specialization
Search Engine Optimization (SEO) Specialization,Business,Specialization,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",search_engine_optimization_seo_specialization
AI Product Management Specialization,Data Science,Specialization,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",ai_product_management_specialization
Introduction to Programming with Python and Java Specialization,Computer Science,Specialization,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",introduction_to_programming_with_python_and_java_s
Construction Management Specialization,Business,Specialization,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",construction_management_specialization
IBM Introduction to Machine Learning Specialization,Data Science,Specialization,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",ibm_introduction_to_machine_learning_specializatio
Data Analysis and Presentation Skills: the PwC Approach Specialization,Business,Specialization,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",data_analysis_and_presentation_skills_the_pwc_appr
AWS Fundamentals Specialization,Information Technology,Specialization,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",aws_fundamentals_specialization
Data Science: Foundations using R Specialization,Data Science,Specialization,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",data_science_foundations_using_r_specialization
Python 3 Programming Specialization,Computer Science,Specialization,"Json, Computer Programming, Python Programming, Sorting, ",python_3_programming_specialization
Reinforcement Learning Specialization,Data Science,Specialization,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",reinforcement_learning_specialization
Accelerated Computer Science Fundamentals Specialization,Computer Science,Specialization,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",accelerated_computer_science_fundamentals_speciali
Digital Marketing Specialization,Business,Specialization,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ",digital_marketing_specialization
DevOps on AWS Specialization,Computer Science,Specialization,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",devops_on_aws_specialization
Generative Adversarial Networks (GANs) Specialization,Data Science,Specialization,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",generative_adversarial_networks_gans_specializatio
Data Visualization with Tableau Specialization,Data Science,Specialization,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ",data_visualization_with_tableau_specialization
Certified in Cybersecurity Specialization,Information Technology,Specialization,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",certified_in_cybersecurity_specialization
Business Strategy Specialization,Business,Specialization,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ",business_strategy_specialization
Applied Data Science with Python Specialization,Data Science,Specialization,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",applied_data_science_with_python_specialization
Human Resource Management: HR for People Managers Specialization,Business,Specialization,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ",human_resource_management_hr_for_people_managers_s
Achieving Personal and Professional Success Specialization,Personal Development,Specialization,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ",achieving_personal_and_professional_success_specia
Regulatory Compliance Specialization,Business,Specialization,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ",regulatory_compliance_specialization
"TESOL Certificate, Part 1: Teach English Now! Specialization",Language Learning,Specialization,"Education, Online Learning, ",tesol_certificate_part_1_teach_english_now_special
Financial Engineering and Risk Management Specialization,Business,Specialization,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, ",financial_engineering_and_risk_management_speciali
UI / UX Design Specialization,Arts and Humanities,Specialization,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ",ui__ux_design_specialization
"Product Ideation, Design, and Management Specialization",Business,Specialization,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), ",product_ideation_design_and_management_specializat
Financial Analysis - Skills for Success Specialization,Business,Specialization,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, ",financial_analysis__skills_for_success_specializat
Creative Writing Specialization,Arts and Humanities,Specialization,"Short Story Writing, Fiction Writing, Creativity, Copy Editing, ",creative_writing_specialization
Data Structures and Algorithms Specialization,Computer Science,Specialization,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, ",data_structures_and_algorithms_specialization
Software Product Management Specialization,Computer Science,Specialization,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, ",software_product_management_specialization
Foundations of Management Specialization,Business,Specialization,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, ",foundations_of_management_specialization
Genomic Data Science Specialization,Data Science,Specialization,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, ",genomic_data_science_specialization
Methods and Statistics in Social Sciences Specialization,Social Sciences,Specialization,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), ",methods_and_statistics_in_social_sciences_speciali
"NoSQL, Big Data, and Spark Foundations Specialization",Information Technology,Specialization,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, ",nosql_big_data_and_spark_foundations_specializatio
Think like a CFO Specialization,Business,Specialization,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment, ",think_like_a_cfo_specialization
TensorFlow: Advanced Techniques Specialization,Data Science,Specialization,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization, ",tensorflow_advanced_techniques_specialization
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Data Science,Specialization,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing, ",data_engineering_big_data_and_machine_learning_on_
Mathematics for Machine Learning Specialization,Data Science,Specialization,"Eigenvalues And Eigenvectors, Principal Component Analysis (PCA), Multivariable Calculus, Linear Algebra, Basis (Linear Algebra), Transformation Matrix, Linear Regression, Vector Calculus, Gradient Descent, Dimensionality Reduction, Python Programming, ",mathematics_for_machine_learning_specialization
Modern and Contemporary Art and Design Specialization,Arts and Humanities,Specialization,"Photography, Design, Art, History, Museums, Creativity, Art History, Art Direction, ",modern_and_contemporary_art_and_design_specializat
Agile Development Specialization,Computer Science,Specialization,"hypothesis-driven development, Design Thinking, User Experience (UX), agile, Lean Startup, agile user stories, User Experience Design (UXD), Agile Software Development, Product Management, Software Development, Usability Testing, Continuous Delivery, ",agile_development_specialization
Career Success Specialization,Business,Specialization,"Project Management, Information Technology (IT) Management, Communication, Negotiation, Leadership, Team Management, Task Management, Management, Planning, Plan, Accounting, Financial Ratio, ",career_success_specialization
U.S. Federal Taxation Specialization,Business,Specialization,"Depreciation, Federal Tax Returns, Tax Law, ",us_federal_taxation_specialization
The Business of Music Production Specialization,Arts and Humanities,Specialization,"Copyright, Music production, Contracts, Pro Tools, Music recording, Music business, Revenue streams, Teambuilding, Audio Production, Music, Songwriting, Create music legally, ",the_business_of_music_production_specialization
The Business of Health Care Specialization,Health,Specialization,"Insurance, Health Economics, ",the_business_of_health_care_specialization
Practical Data Science on the AWS Cloud Specialization,Data Science,Specialization,"Natural Language Processing with BERT, ML Pipelines and ML Operations (MLOps), A/B Testing and Model Deployment, Data Labeling at Scale, Automated Machine Learning (AutoML), Statistical Data Bias Detection, Multi-class Classification with FastText and BlazingText, Data ingestion, Exploratory Data Analysis, ML Pipelines and MLOps, Model Training and Deployment with BERT, Model Debugging and Evaluation, ",practical_data_science_on_the_aws_cloud_specializa
Risk Management Specialization,Business,Specialization,"Credit Risk Measurement and Management, Application of Financial Statistics and Probability, Market Risk Measurement and Management, Operational Risk Measurement and Management, Risk Management, Financial Risk, Leadership and Financial Risk Estimation and Management, Regulations, Credit Analysis, Financial Analysis, credit risk, Market Risk Management, ",risk_management_specialization
Music Production Specialization,Arts and Humanities,Specialization,"Audio Recording, Music, Music production, Sound Design, Audio Editing, Audio Production, Songwriting, Music recording, MIDI, Pro Tools, music editing, Music mixing, ",music_production_specialization
Google Cloud Database Engineer Specialization,Information Technology,Specialization,"Cloud Platforms, Cloud Storage, Google Cloud Platform, Google Compute Engine, Google App Engine (GAE), Cloud Computing, MySQL, cloud sql, SQL Operations, Database (DBMS), Data Management, Postgresql, ",google_cloud_database_engineer_specialization
Architecting with Google Compute Engine Specialization,Information Technology,Specialization,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling, ",architecting_with_google_compute_engine_specializa
Global Procurement and Sourcing Specialization,Business,Specialization,"Negotiation, Contracts, ",global_procurement_and_sourcing_specialization
Entrepreneurship: Growing Your Business Specialization,Business,Specialization,"Entrepreneurship, Leadership & Management, Innovation, Finance, HR Tech, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Leadership, Business Ethics, Ethical Leadership, ",entrepreneurship_growing_your_business_specializat
Six Sigma Yellow Belt Specialization,Business,Specialization,"Project Management, Lean Six Sigma, Binomial Distribution, Six Sigma, Process Improvement, Lean Methods, Statistics, Data Analysis, Causality, ",six_sigma_yellow_belt_specialization
The DIY Musician Specialization,Arts and Humanities,Specialization,"Crowdfunding, Music production, Social Media, Songwriting, Music recording, Music, Poetry, Audio Production, MIDI, Pro Tools, Music business, Marketing, ",the_diy_musician_specialization
Algorithms Specialization,Computer Science,Specialization,"Algorithms, Dynamic Programming, Greedy Algorithm, Divide And Conquer Algorithms, Randomized Algorithm, Sorting Algorithm, Graphs, Data Structure, Hash Table, Spanning Tree, Np-Completeness, ",algorithms_specialization
"Influencing: Storytelling, Change Management and Governance Specialization",Business,Specialization,"Change Management, Communication, Negotiation, Risk governance, ",influencing_storytelling_change_management_and_gov
Applied Data Science with R Specialization,Data Science,Specialization,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression, ",applied_data_science_with_r_specialization
Geographic Information Systems  (GIS) Specialization,Data Science,Specialization,"Geographic Information System (GIS), Satellite, Imagery Analysis, Model Building, spatial visualization, Spatial Analysis, Data Analysis, Data Visualization (DataViz), Software, Analytics, Workflow, Data Management, ",geographic_information_systems__gis_specialization
Decentralized Finance (DeFi): The Future of Finance Specialization,Business,Specialization,"Cryptography, Smart Contract, Decentralized Protocols, governance, Blockchain Mechanics, Consensus mechanisms, digital signature, Address mechanics, Flash loans, Bonding curves, Set Protocol’s tokenization method, Mechanics of Compound and Aave, ",decentralized_finance_defi_the_future_of_finance_s
Project Management & Other Tools for Career Development Specialization,Business,Specialization,"Project Management, Risk Management, Communication, Negotiation, Project, Planning, Project Planning, Change Control, Change Management, Email Writing, Proofreading, Writing, ",project_management__other_tools_for_career_develop
Project Management Principles and Practices Specialization,Business,Specialization,"Schedule, Project Management, Risk Management, Budget, Project, Planning, Project Planning, Budget Estimation, Change Control, Change Management, ",project_management_principles_and_practices_specia
Java Programming and Software Engineering Fundamentals Specialization,Computer Science,Specialization,"HTML, JavaScript, Cascading Style Sheets (CSS), Java Programming, Html5, Algorithms, Problem Solving, String (Computer Science), Data Structure, Cryptography, Hash Table, Programming Principles, ",java_programming_and_software_engineering_fundamen
MATLAB Programming for Engineers and Scientists Specialization,Computer Science,Specialization,"Matlab, Data Analysis, Object-Oriented Programming (OOP), Image Processing, Computer Programming, Problem Solving, Programming Language, ",matlab_programming_for_engineers_and_scientists_sp
Design Thinking Specialization,Business,Specialization,"Creativity, Strategic Thinking, Design Thinking, Innovation Management, Innovation, ",design_thinking_specialization
Architecting with Google Kubernetes Engine Specialization,Information Technology,Specialization,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, ",architecting_with_google_kubernetes_engine_special
Security in Google Cloud Specialization,Information Technology,Specialization,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, ",security_in_google_cloud_specialization
Leading People and Teams Specialization,Business,Specialization,"Vision Alignment, Talent Management, Goals and Rewards, Motivate Employees, Leadership, goal setting, Communication, Leadership Development, Onboarding, Coaching, Recruitment, Management, ",leading_people_and_teams_specialization
Coding for Everyone: C and C++ Specialization,Computer Science,Specialization,"Algorithms, C Programming, Coding, C++, Computer Programming, Graph Theory, C++11, Graph Algorithms, Standard Template Library, ",coding_for_everyone_c_and_c_specialization
Developing Applications with Google Cloud Specialization,Computer Science,Specialization,"Debugging, Google Cloud Platform, Cloud Storage, Application development, Cloud Computing, Google Compute Engine, Google App Engine (GAE), Data Store, Application Programming Interfaces (API), Cloud Functions, Identity Management (IDM), Cloud Endpoints, ",developing_applications_with_google_cloud_speciali
Real-World Product Management Specialization,Computer Science,Specialization,"PM Interviewing, Real-World Examples, Product Management, Real-World Assignments, Technology Leadership, Go-to-market Strategy, Product/Market Fit, Tech Leadership, B2B Sales, Monetization Strategy, A/B/n testing, Customer Retention, ",realworld_product_management_specialization
Pricing Strategy Optimization Specialization,Business,Specialization,"Cost-Based Pricing, Pricing Strategies, Market-Based Pricing, Customer Value-based Pricing, Strategic Management, Channel and Direct-to-Consumer Pricing, Price Discrimination, Price Elasticity Of Demand, Customer Willingness to Pay, Measuring Customer Preferences, Customer Psychology, Competitor Pricing Models, ",pricing_strategy_optimization_specialization
Networking in Google Cloud Specialization,Information Technology,Specialization,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, ",networking_in_google_cloud_specialization
Academic English: Writing Specialization,Social Sciences,Specialization,"Punctuation, Essay Writing, Academic Writing, Writing, English Grammar, Grammar, Creative Writing, ",academic_english_writing_specialization
Introduction to Cyber Security Specialization,Computer Science,Specialization,"Cryptography, Cybersecurity, Risk Assessment, Cyber Defense, Cyber Attacks, Information Security (INFOSEC), Denial-Of-Service Attack (DOS), Public-Key Cryptography, ",introduction_to_cyber_security_specialization
Business Data Management and Communication Specialization,Data Science,Specialization,"Asset Management, Business Analytics, Financial Accounting, Data Analysis, Rstudio, Accounting, Accrual, Financial Statement, Cash Flow, Cash Flow Statement, Analytics, Health Care, ",business_data_management_and_communication_special
